DBH,V,H,QSF_X,QSF_Y,QSF_Z
0.132467785049155,0.135,19.206,20.2518181818182,20.3745454545455,10.1842433234421
0.121554749516386,0.115,19.118,19.4546385542169,14.6634337349398,10.601877394636
0.273913769681966,0.707,21.68,15.593064516129,13.3520967741935,11.8004494382022
0.172125531152613,0.279,20.601,14,17.695,14.1189028213166
0.133493994856304,0.084,10.86,12.44,19.92,15.3
0.159322485889383,0.229,21.111,7.13772727272727,15.7163636363636,16.4391304347826
0.281580429913072,0.769,20.78,25.6407142857143,19.9207142857143,7.19956692913386
0.150294208113792,0.196,18.812,24.53,14.559,7.8976
0.140336374375483,0.194,18.312,22.205,23.775,8.64796296296296
0.130982508571634,0.134,16.841,21.82,13.1457142857143,9.09898550724638
0.155928976782444,0.195,18.281,22.566875,18.516875,9.08919540229885
0.092130571478893,0.079,16.754,21.44,14.35,9.48557971014493
0.320016426020157,0.656,17.09,17.9916666666667,10.5333333333333,9.96966057441253
0.293462015421226,0.689,17.058,19.645,19.6873333333333,10.7818784530387
0.066523097273092,0.04,14.003,18.1907692307692,15.1396153846154,11.2767579908676
0.0986089235372752,0.068,12.859,18.875,20.235,11.2514007782101
0.303503314746694,0.807,21.539,17.4145454545455,15.9718181818182,12.0110789473684
0.330075314462994,1.065,17.177,14.683275862069,12.8291379310345,12.0933592017738
0.290503515235872,0.727,21.12,17.59,18.09,12.3
0.0909821562810409,0.068,16.342,15.1763654089179,16.9642662018553,13.587835745271
0.370565052703835,1.302,22.776,15.4886506599441,21.1478020141669,13.423606557377
0.397971313526729,1.509,26.313,11.1965789473684,12.0992105263158,13.2667987804878
0.288553883714439,0.82,22.594,10.6337974683544,11.7339240506329,13.5062025316456
0.121685143991453,0.102,19.063,13.52,17.525,14.4370114942529
0.100516490820734,0.052,11.044,12.1175,15.80375,14.6057911392405
0.148203610843124,0.164,20.214,11.5706603773585,19.8614150943396,15.7562429378531
0.0227271758419539,0.004,3.132,6.13411214953271,15.1410280373832,16.4078504672897
0.104623043514647,0.057,13.245,9.89115384615385,15.2565384615385,15.5453968253968
0.0457603765202617,0.012,6.227,19.4197384869804,17.7213095984201,11.2734939872816
0.0869001479486523,0.034,9.466,17.5789609902121,14.0519079874019,11.2943663935226
0.0369020895222581,0.003,3.991,13.0995833333333,8.14395833333333,10.9589583333333
0.0297744287566329,0.003,3.387,20.5639943690403,19.4339243435697,10.5629376271771
0.100824897438674,0.087,17.834,21.1982835820896,17.3035074626866,9.99555555555555
0.10568829737286,0.082,17.03,19.0966666666667,13.8644444444445,10.71
0.148841258145397,0.123,16.051,21.7017647058824,19.7973529411765,9.45905660377358
0.0761108778229173,0.024,7.507,23.1209708737864,28.3687378640777,8.13339805825243
0.147070652126188,0.13,16.04,25.9629545454546,18.5172727272727,6.69
0.00249999994412065,0,1.537,27.22125,15.8475,6.0825
0.211740555055952,0.362,20.691,22.4734782608696,5.54,5.86913043478261
0.0774236753831435,0.056,18.912,16.1175,20.07375,13.2984834123223
0.0169820246319818,0.001,1.884,18.0887058823529,23.6849411764706,11.7562352941176
0.036151012108056,0.004,4.902,15.2709090909091,6.89363636363636,8.65818181818182
0.0695506521608716,0.02,7.625,23.8417647058823,23.7652941176471,7.58492424242424
0.0974615856374633,0.043,9.341,25.1207142857143,20.535,7.23877419354839
0.0367239320498873,0.012,4.884,18.226632514756,6.52854519385382,7.74598665398329
0.024182668830922,0.003,2.87,21.9464259147171,7.94726180866469,7.3504940039099
0.025438957752763,0.003,3.364,27.1230492572311,16.0196916589695,6.05611568666296
