treeID,X_segmented,Y_segmented,Z_segmented,Point_count,H_segmented_m,Wood_points,Foliage_points,Wood_fraction,Valid_QSM_points,Eligible_for_QSM,X_root,Y_root,Z_root,DBH_cm,H_m,BA_m2,Total_wood_length_m,Volume_total_m3,Volume_Arbor_m3,Stem_length_m,Stem_volume_m3,Branch_count,Branch_length_total_m,Branch_volume_total_m3,B1_primary_count,B1_primary_length_m,B1_primary_volume_m3,B2_secondary_count,B2_secondary_length_m,B2_secondary_volume_m3,B3_tertiary_plus_count,B3_tertiary_plus_length_m,B3_tertiary_plus_volume_m3,Max_branch_order,Stem_volume_pct,Branch_volume_pct,B1_volume_pct,B2_volume_pct,B3_volume_pct,QSM_note,R,G,B,QSM_status,X_tree,Y_tree,Z_tree
11,23.12,18.4,8.79,23944,19.9359259259259,14556,9388,0.607918476445038,23944,TRUE,22.566875,18.516875,9.08919540229885,15.5928976782444,18.281,0.0190960498367785,230.978191201042,0.19462648579835,0.195,18.2843544191731,0.162030168215639,295,212.693836781869,0.0325963175827104,30,39.2622620009823,0.0218187177304172,64,63.2972763798865,0.00673247498686402,201,110.134298401,0.00404512486542915,7,83.2518593504879,16.7481406495122,11.2105593649897,3.45917718199951,2.07840410252295,"",244,40,148,OK,22.566875,18.516875,9.08919540229885
12,22.03,14.08,9.14,16383,18.1313793103448,12447,3936,0.759750961362388,16383,TRUE,21.44,14.35,9.48557971014493,9.2130571478893,16.754,0.00666649275552696,114.296198106482,0.0793776995421325,0.079,16.4754822418904,0.0690007551011092,144,97.8207158645912,0.0103769444410233,21,29.3303225176218,0.00796621618821304,47,33.8350901292418,0.00159672025230281,76,34.6553032177276,0.000814008000507424,6,86.9271287768735,13.0728712231265,10.0358365563173,2.01154765319861,1.02548701361062,"",49,183,212,OK,21.44,14.35,9.48557971014493
13,17.94,10.18,9.66,73542,18.4744131455399,50547,22995,0.687321530553969,73542,TRUE,17.9916666666667,10.5333333333333,9.96966057441253,32.0016426020157,17.09,0.0804330287620906,197.840151206624,0.65649753860947,0.656,18.1323301097622,0.600641163323713,338,179.707821096862,0.055856375285757,63,64.2184915334607,0.0462642792899585,130,71.5864141214758,0.00831160372752882,145,43.9029154419258,0.00128049226826967,6,91.4917616592948,8.50823834070521,7.04713674752703,1.26605253465743,0.195049058520751,"",247,221,17,OK,17.9916666666667,10.5333333333333,9.96966057441253
14,19.81,19.57,10.49,72055,17.6121893491124,37594,34461,0.521740337242384,72055,TRUE,19.645,19.6873333333333,10.7818784530387,29.3462015421226,17.058,0.0676384540923136,249.059729658649,0.689474427864804,0.689,17.7265783524121,0.602865612168881,424,231.333151306237,0.0866088156959224,79,80.6679528491455,0.0706276015536103,188,101.6065796001,0.0135690157869966,157,49.0586188569911,0.00241219835531549,8,87.4384295927934,12.5615704072066,10.2436868865946,1.96802306780511,0.349860452806886,"",175,58,254,OK,19.645,19.6873333333333,10.7818784530387
15,18.72,13.48,10.89,25073,16.1309554140127,15934,9139,0.635504327364097,25073,TRUE,18.1907692307692,15.1396153846154,11.2767579908676,6.6523097273092,14.003,0.00347564014101191,137.260246122532,0.0400967919780407,0.04,16.0853382832069,0.0339149715274154,214,121.174907839325,0.00618182045062526,42,34.2753274604895,0.00374436828293814,75,44.3530779916956,0.00153623908178116,97,42.5465023871395,0.000901213085905965,7,84.5827555131822,15.4172444868178,9.33832383645248,3.83132666229879,2.24759398806648,"",21,229,84,OK,18.1907692307692,15.1396153846154,11.2767579908676
16,19.67,20.78,11.02,23949,15.3180689655172,16879,7070,0.704789344022715,23949,TRUE,18.875,20.235,11.2514007782101,9.86089235372752,12.859,0.00763699167323832,68.904342007227,0.0681036017723261,0.068,13.9222155273384,0.0645459789398849,106,54.9821264798886,0.00355762283244115,32,26.9060428376596,0.00279664023502425,53,22.5465198531987,0.000649617146834585,21,5.52956378903033,0.000111365450582313,5,94.7761605262311,5.22383947376891,4.10644982386331,0.953866065713072,0.163523584192527,"",206,49,47,OK,18.875,20.235,11.2514007782101
17,17.9,15.93,11.59,75182,22.746125,54922,20260,0.730520603335905,75182,TRUE,17.4145454545455,15.9718181818182,12.0110789473684,30.3503314746694,21.539,0.0723463722463875,388.866241698284,0.806821895239254,0.807,22.193016867763,0.656664258748373,538,366.673224830521,0.150157636490881,45,113.819472487754,0.130807774494747,215,149.128817039667,0.0161269496109391,278,103.7249353031,0.0032229123851947,6,81.3889983183521,18.6110016816479,16.2127199654092,1.9988239915275,0.399457724711225,"",55,105,236,OK,17.4145454545455,15.9718181818182,12.0110789473684
18,14.75,12.68,11.82,71036,17.6163636363636,48360,22676,0.680781575539163,71036,TRUE,14.683275862069,12.8291379310345,12.0933592017738,33.0075314462994,17.177,0.0855689046639739,278.817910329781,1.06503145855575,1.065,18.1322389675431,0.836430607601734,457,260.685671362238,0.228600850954014,55,61.5616570514918,0.17800377303476,144,97.9831829005048,0.042079005287488,258,101.140831410241,0.00851807263176555,6,78.5357653881876,21.4642346118124,16.7134756072036,3.95096360294839,0.799795401660399,"",167,246,62,OK,14.683275862069,12.8291379310345,12.0933592017738
19,18.23,18.07,12,79331,22.3966666666667,52062,27269,0.656262999331913,79331,TRUE,17.59,18.09,12.3,29.0503515235872,21.12,0.0662815514278989,300.947941040771,0.727361850236894,0.727,22.9588567996339,0.672075984933683,531,277.989084241137,0.0552858653032108,95,119.679856702024,0.0466089103630504,276,112.164970357102,0.0072800525274764,160,46.1442571820111,0.00139690241268402,6,92.3991249630146,7.60087503698534,6.40793991984462,1.00088457005346,0.192050547087267,"",212,51,190,OK,17.59,18.09,12.3
20,15.3,16.97,13.1,26126,18.6257142857143,19355,6771,0.740832886779454,26126,TRUE,15.1763654089179,16.9642662018553,13.587835745271,9.09821562810409,16.342,0.00650133181597776,57.1446097957263,0.0683277767818925,0.068,18.24202481352,0.0645568694436796,58,38.9025849822062,0.00377090733821289,25,26.9187455826627,0.0035300702726561,27,10.4900827219291,0.000211507223088904,6,1.4937566776144,2.93298424678794e-05,4,94.4811502498465,5.51884975015346,5.16637660248241,0.30954793650619,0.0429252111648569,"",56,255,224,OK,15.1763654089179,16.9642662018553,13.587835745271
21,17.14,25.33,13.23,66042,20.0133136094675,39656,26386,0.60046636988583,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,156,54,NOT_ELIGIBLE,17.14,25.33,13.23
22,15.87,21.18,13.09,132427,24.1177685950413,89813,42614,0.678207616271606,132427,TRUE,15.4886506599441,21.1478020141669,13.423606557377,37.0565052703835,22.776,0.107849664937919,561.743074315677,1.30160941538987,1.302,22.5406142303365,1.11450936930087,934,539.20246008534,0.187100046089,76,131.551332483014,0.138556216804176,339,216.415413953413,0.0401396408583069,519,191.235713648913,0.00840418842651713,7,85.6254845826421,14.3745154173579,10.6449918974098,3.0838468425095,0.645676677438586,"",113,65,248,OK,15.4886506599441,21.1478020141669,13.423606557377
